"id","company_id","currency_id","product_tmpl_id","delay","price","partner_id","sequence","min_qty","product_code","discount","date_end","date_start","id","product_name","product_id"
"__export__.product_supplierinfo_16_7f5d4211","El Pelotazo Electrohogar","EUR","[BECM2493] (BECKEM) CAFETERA EXPRESSO","1","40.31","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_16_7f5d4211","",""
"__export__.product_supplierinfo_17_07ccea24","El Pelotazo Electrohogar","EUR","[BT8759] (BECKEN) TOSTADOR 2 RANURAS XL BLANCO","1","22.09","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_17_07ccea24","",""
"__export__.product_supplierinfo_18_06292e90","El Pelotazo Electrohogar","EUR","[BT4606] (BECKEN) TOSTADOR 2 RANURAS ROJA","1","15.79","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_18_06292e90","",""
"__export__.product_supplierinfo_19_8c25d4a3","El Pelotazo Electrohogar","EUR","[BMO4135] (BECKEN) MINI HORNO 30L","1","56.23","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_19_8c25d4a3","",""
"__export__.product_supplierinfo_20_cd39e2c9","El Pelotazo Electrohogar","EUR","[BKS4478] (BECKEN) PESO/BALANZA COCINA CON TAZON","1","8.88","BECKEN","1","1.0","","0.0","","","__export__.product_supplierinfo_20_cd39e2c9","",""
"__export__.product_supplierinfo_21_5b15b647","El Pelotazo Electrohogar","EUR","[CONA90PBX] (JOHNSON) COCINA 90CM HORNO/PORTABOM INOX","1","353.12","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_21_5b15b647","",""
"__export__.product_supplierinfo_22_dc95f2bf","El Pelotazo Electrohogar","EUR","[JRC1852EMX] (JOHNSON) COMBI NF 186X59X60 CLASE E INOX","1","290.7","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_22_dc95f2bf","",""
"__export__.product_supplierinfo_23_510aabb4","El Pelotazo Electrohogar","EUR","[EMC2010SW1] (EAS) NF 201X59,5X63 CLASE E BLANCO","1","355.98","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_23_510aabb4","",""
"__export__.product_supplierinfo_24_db8e2003","El Pelotazo Electrohogar","EUR","[EMC2010SX1] (EAS) NF 201X59,5X63 CLASE E INOX","1","376.38","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_24_db8e2003","",""
"__export__.product_supplierinfo_25_5a5bc909","El Pelotazo Electrohogar","EUR","[JRC200AN2X] (JOHNSON) NF 201X59,5X70 CLASE A INOX","1","661.98","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_25_5a5bc909","",""
"__export__.product_supplierinfo_26_0a6ffb6d","El Pelotazo Electrohogar","EUR","[JRZ185ENX] (JOHNSON) CONGELADOR VERTICAL 1P 1,85M INOX","1","451.01","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_26_0a6ffb6d","",""
"__export__.product_supplierinfo_27_292f71c9","El Pelotazo Electrohogar","EUR","[JRD176E] (JOHNSON) FRIGORÍFICO 2P - 1,76M","1","225.88","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_27_292f71c9","",""
"__export__.product_supplierinfo_28_07418085","El Pelotazo Electrohogar","EUR","[DUERO90] (JOHNSON) LAVADORA CF 9KG 1400RPM A BLANCA","1","253.98","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_28_07418085","",""
"__export__.product_supplierinfo_29_d98dda9f","El Pelotazo Electrohogar","EUR","[MUNDO80] (JOHNSON) LAVADORA CS 8KG - 13000RPM NERVION","1","287.47","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_29_d98dda9f","",""
"__export__.product_supplierinfo_30_075fb0a7","El Pelotazo Electrohogar","EUR","[DUERO80XA] (JOHNSON) LAVADORA CF 8KG - 1400RPM - INOX","1","243.78","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_30_075fb0a7","",""
"__export__.product_supplierinfo_31_2fbbd4d9","El Pelotazo Electrohogar","EUR","[EBRO120] (JOHNSON) LAVADORA CF 12KG - 1400RPM - BLANCA","1","304.0","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_31_2fbbd4d9","",""
"__export__.product_supplierinfo_32_2451e081","El Pelotazo Electrohogar","EUR","[EHH210] (EAS) CONVECTOR CRISTAL NEGRO 1500W (3VEL.)","1","59.0","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_32_2451e081","",""
"__export__.product_supplierinfo_33_da0cf5b0","El Pelotazo Electrohogar","EUR","[EHR2500] (EAS) RADIADOR ACEITE 2500W ECO+27%","1","75.0","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_33_da0cf5b0","",""
"__export__.product_supplierinfo_34_6749f841","El Pelotazo Electrohogar","EUR","[EPLEX42] (EAS) ESTUFA DE GAS 4200W (TRIPLE SEGURIDAD)","1","59.0","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_34_6749f841","",""
"__export__.product_supplierinfo_35_ec647eae","El Pelotazo Electrohogar","EUR","[EHF205RC] (EAS) CALEFACTOR CERÁMICO 2000W/OSCILACIÓN","1","37.0","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_35_ec647eae","",""
"__export__.product_supplierinfo_36_477f4eba","El Pelotazo Electrohogar","EUR","[JVICA330] (JOHNSON) PLACA VITRO 3 ZONAS CONTROL DESL","1","111.18","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_36_477f4eba","",""
"__export__.product_supplierinfo_37_44ba13e2","El Pelotazo Electrohogar","EUR","[EMH461GBNX] (EAS) ENCIMERA GAS 4 FUEGOS 60CM INOX","1","75.14","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_37_44ba13e2","",""
"__export__.product_supplierinfo_38_6942514e","El Pelotazo Electrohogar","EUR","[ENV28] (EAS) HORNO SOBREMESA 28L","1","54.64","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_38_6942514e","",""
"__export__.product_supplierinfo_39_045dd98a","El Pelotazo Electrohogar","EUR","[ENV38] (EAS) HORNO SOBREMESA 38L","1","65.81","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_39_045dd98a","",""
"__export__.product_supplierinfo_40_98bab467","El Pelotazo Electrohogar","EUR","[JOR70B] (JOHNSON) HORNO BLANCO 70L - 8 FUNCIONES","1","198.9","EAS-JOHNSON","1","1.0","","0.0","","","__export__.product_supplierinfo_40_98bab467","",""
"__export__.product_supplierinfo_41_25f92267","El Pelotazo Electrohogar","EUR","[BEHPG120/121] (BEKO) A/A INVERTER 3000F WIFI","1","205.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_41_25f92267","",""
"__export__.product_supplierinfo_42_720a454a","El Pelotazo Electrohogar","EUR","[THSC25DB] (THOMSON) CALEFACTOR CERÁMICO BLANCO","1","16.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_42_720a454a","",""
"__export__.product_supplierinfo_43_2603826f","El Pelotazo Electrohogar","EUR","[THSC25DN] (THOMSON) CALEFACTOR CERÁMICO NEGRO","1","16.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_43_2603826f","",""
"__export__.product_supplierinfo_44_149fdd72","El Pelotazo Electrohogar","EUR","[THSC25DR] (THOMSON) CALEFACTOR CERÁMICO ROJO","1","16.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_44_149fdd72","",""
"__export__.product_supplierinfo_45_68304f5c","El Pelotazo Electrohogar","EUR","[KC-LINE700TCBK] (KROMS) CAMPANA 70CM CRISTAL NEGRO","1","215.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_45_68304f5c","",""
"__export__.product_supplierinfo_46_4f51240a","El Pelotazo Electrohogar","EUR","[EVF-99CDEW] (VOK) CONGELADOR ARCON 100L","1","109.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_46_4f51240a","",""
"__export__.product_supplierinfo_47_45aec1bf","El Pelotazo Electrohogar","EUR","[WFR-M42ET] (WINIA) FRIGO 2PTA - CICLICO - 1,43X54","1","160.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_47_45aec1bf","",""
"__export__.product_supplierinfo_48_2d91140b","El Pelotazo Electrohogar","EUR","[SC185601ENF] (SVAN) FRIGO COMBI NF BLANCO ""E""","1","235.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_48_2d91140b","",""
"__export__.product_supplierinfo_49_dc8fda3d","El Pelotazo Electrohogar","EUR","[BBSE12120XD] (BEKO) CONJUNTO HORNO+VITRO","1","240.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_49_dc8fda3d","",""
"__export__.product_supplierinfo_50_f6dd16c8","El Pelotazo Electrohogar","EUR","[1587] (CECOTEC) MICROONDAS PROCLEAN 2010 20L BLANCO","1","35.5","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_50_f6dd16c8","",""
"__export__.product_supplierinfo_51_2088e84b","El Pelotazo Electrohogar","EUR","[1533] (CECOTEC) MICROONDAS PROCLEAN 5120 INOX","1","38.5","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_51_2088e84b","",""
"__export__.product_supplierinfo_52_6b60c1cf","El Pelotazo Electrohogar","EUR","[WRA8615XW] (BEKO) LAVADORA 8KG - ""A"" - BLANCO -","1","238.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_52_6b60c1cf","",""
"__export__.product_supplierinfo_53_2a6f659f","El Pelotazo Electrohogar","EUR","[EVW-6BAWL21] (VOK) LAVADORA 6KG - ""A"" - BLANCO -","1","155.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_53_2a6f659f","",""
"__export__.product_supplierinfo_54_1981336c","El Pelotazo Electrohogar","EUR","[EVD-14FCWAD] (VOK) LAVAVAJILLAS 60CM - 14 CUBIERTOS - BLANCO","1","209.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_54_1981336c","",""
"__export__.product_supplierinfo_55_3afff277","El Pelotazo Electrohogar","EUR","[SSC800BD] (SVAN) SECADORA CONDENSACIÓN 8KG","1","200.0","ELECTRODIRECTO","1","1.0","","0.0","","","__export__.product_supplierinfo_55_3afff277","",""
"__export__.product_supplierinfo_56_c196abd8","El Pelotazo Electrohogar","EUR","[ADR128] A/A PORTATIL + CALEFACCION","1","265.8","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_56_c196abd8","",""
"__export__.product_supplierinfo_57_5f4fa97a","El Pelotazo Electrohogar","EUR","[ADR97] A/A PORTATIL  + CALEFACCION","1","177.6","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_57_5f4fa97a","",""
"__export__.product_supplierinfo_58_d49aadcd","El Pelotazo Electrohogar","EUR","[AP4600] ASPIRADOR VERTICAL","1","139.0","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_58_d49aadcd","",""
"__export__.product_supplierinfo_59_8b13b985","El Pelotazo Electrohogar","EUR","[BV2500] BATIDORA PORTATIL USB","1","24.3","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_59_8b13b985","",""
"__export__.product_supplierinfo_60_75f14931","El Pelotazo Electrohogar","EUR","[BA3600] AMASADORA DE MANO ORBEGOZO","1","29.7","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_60_75f14931","",""
"__export__.product_supplierinfo_61_4fa35df9","El Pelotazo Electrohogar","EUR","[BT2680] BATIDORA MANO - 1000W","1","19.8","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_61_4fa35df9","",""
"__export__.product_supplierinfo_62_6c992d3b","El Pelotazo Electrohogar","EUR","[MO 3250] MOLINILLO CAFÉ - 150W","1","12.52","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_62_6c992d3b","",""
"__export__.product_supplierinfo_63_a445a67e","El Pelotazo Electrohogar","EUR","[KFR340] CAFETERA ITALIANA ROJA - 3TAZAS","1","7.2","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_63_a445a67e","",""
"__export__.product_supplierinfo_64_a9a24819","El Pelotazo Electrohogar","EUR","[KF 900] CAFETERA ALUMINIO INOX - 9 TAZAS","1","14.1","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_64_a9a24819","",""
"__export__.product_supplierinfo_65_191c379f","El Pelotazo Electrohogar","EUR","[KFR640] CAFETERA ITALIANA ROJA - 6TAZAS","1","8.96","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_65_191c379f","",""
"__export__.product_supplierinfo_66_8fc78a0c","El Pelotazo Electrohogar","EUR","[KFR940] CAFETERA ITALIANA ROJA - 9 TAZAS","1","12.0","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_66_8fc78a0c","",""
"__export__.product_supplierinfo_67_5fa5655e","El Pelotazo Electrohogar","EUR","[KFI660 A] CAFETERA ITALIANA 6T INDUCCION","1","12.44","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_67_5fa5655e","",""
"__export__.product_supplierinfo_68_d6bf6b5f","El Pelotazo Electrohogar","EUR","[KFN1210] CAFETERA ITALIANA 12T NEGRO","1","16.5","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_68_d6bf6b5f","",""
"__export__.product_supplierinfo_69_b17693e2","El Pelotazo Electrohogar","EUR","[KFI960] CAFETERA ITALIANA 9T INDUCCION","1","19.35","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_69_b17693e2","",""
"__export__.product_supplierinfo_70_68c3cf6d","El Pelotazo Electrohogar","EUR","[EX5300] CAFETERA ESPRESSO 20 BAR - NEGRO - INOX","1","98.5","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_70_68c3cf6d","",""
"__export__.product_supplierinfo_71_bf1317fb","El Pelotazo Electrohogar","EUR","[FH5115] CALEFACTOR COMPACTO BLANCO - 2000W","1","17.77","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_71_bf1317fb","",""
"__export__.product_supplierinfo_72_a2621ac4","El Pelotazo Electrohogar","EUR","[FH5040 A] CALEFACTOR COMPACTO BLANCO - 2000W","1","20.44","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_72_a2621ac4","",""
"__export__.product_supplierinfo_73_8520aeb4","El Pelotazo Electrohogar","EUR","[FH5140] CALEFACTOR COMPACTO NEGRO - 2000W","1","20.44","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_73_8520aeb4","",""
"__export__.product_supplierinfo_74_9519d493","El Pelotazo Electrohogar","EUR","[FH5034] CALEFACTOR HORIZONTAL BLANCO - 2000W","1","25.7","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_74_9519d493","",""
"__export__.product_supplierinfo_75_a83cefed","El Pelotazo Electrohogar","EUR","[BB5000] ESTUFA BAÑO PARED INOX - 1200W","1","24.23","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_75_a83cefed","",""
"__export__.product_supplierinfo_76_64880422","El Pelotazo Electrohogar","EUR","[BB5002] ESTUFA BAÑO PARED BLANCA - 1200W","1","24.24","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_76_64880422","",""
"__export__.product_supplierinfo_77_1d9d0b89","El Pelotazo Electrohogar","EUR","[FH5237] CALEFACTOR VERTICAL NEGRO - 2000W","1","29.75","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_77_1d9d0b89","",""
"__export__.product_supplierinfo_78_4395f4d9","El Pelotazo Electrohogar","EUR","[CR5016] CALEFACTOR CERÁMICO - 1500W","1","30.67","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_78_4395f4d9","",""
"__export__.product_supplierinfo_79_30090d27","El Pelotazo Electrohogar","EUR","[BP5008] CALENTADOR HALOGENO - 1200W","1","36.7","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_79_30090d27","",""
"__export__.product_supplierinfo_80_dea566b2","El Pelotazo Electrohogar","EUR","[SP6000] CALEFACTOR DE PARED (BAÑO) - 2000W","1","63.18","ORBEGOZO","1","1.0","","0.0","","","__export__.product_supplierinfo_80_dea566b2","",""
