Name,Internal Reference,Sales Price,Cost,Product Category,Vendor,Description,Barcode,Product Type,External ID
TOSTADOR INOX,TO5030,33.0,33.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_TO5030
TOSTADOR PLANO 800W,TO2020,35.0,21.6,,ORBEGOZO,,,Storable Product,ORBEGOZO_TO2020
VENTILADOR DE MANO,HF2100,12.0,11.9,,ORBEGOZO,,,Storable Product,ORBEGOZO_HF2100
VENTILADOR DE PIE,SF1040,30.0,29.8,,ORBEGOZO,,,Storable Product,ORBEGOZO_SF1040
VENTILADOR DE PIE,SF1140,29.0,29.8,,ORBEGOZO,,,Storable Product,ORBEGOZO_SF1140
VENTILADOR DE SOBREMESA,TF0139,35.0,36.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_TF0139
VENTILADOR DE SOBREMESA 40,TF0143,35.0,36.05,,ORBEGOZO,,,Storable Product,ORBEGOZO_TF0143
VENTILADOR DE TECHO,CP12205,155.0,153.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_CP12205
VENTILADOR DE TECHO,CP12105,159.0,160.55,,ORBEGOZO,,,Storable Product,ORBEGOZO_CP12105
ESPEJO PARED VENTOSAS ZOOM/LUZ,ESP 1010,10.0,10.45,,ORBEGOZO,,,Storable Product,ORBEGOZO_ESP 1010
ENCHUFE PROGRAMADOR MANUAL,PG02,5.0,5.3,,ORBEGOZO,,,Storable Product,ORBEGOZO_PG02
SET TERMOS 6 BOTELLAS,SETTRL 5500,8.0,47.25,,ORBEGOZO,,,Storable Product,ORBEGOZO_SETTRL 5500
BOTELLA TERMO ,TRL753,12.0,9.37,,ORBEGOZO,,,Storable Product,ORBEGOZO_TRL753
CORTAPELOS NARIZ,NO3500,8.0,8.45,,ORBEGOZO,,,Storable Product,ORBEGOZO_NO3500
PESO COCINA,PC1009,15.0,9.75,,ORBEGOZO,,,Storable Product,ORBEGOZO_PC1009
ALMOHADILLA ELECTRICA,AH3545,20.0,22.4,,ORBEGOZO,,,Storable Product,ORBEGOZO_AH3545
MATA INSECTOS,MQ3006,15.0,16.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_MQ3006
FUENTE DE CHOCOLATE 32W,FCH4000,29.0,27.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_FCH4000
LICUADORA OBERGOZO,LI6000,86.0,86.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_LI6000
LAMPARA DE SOBREMESA,LP2500,18.0,17.95,,ORBEGOZO,,,Storable Product,ORBEGOZO_LP2500
LUZ ENCHUFE CON SENSOR,LP1000,8.0,8.1,,ORBEGOZO,,,Storable Product,ORBEGOZO_LP1000
MAQUINA DE HACER HIELO ,MHH1200,110.0,110.8,,ORBEGOZO,,,Storable Product,ORBEGOZO_MHH1200
DISPENSADOR AGUA ,DA2000,10.0,7.9,,ORBEGOZO,,,Storable Product,ORBEGOZO_DA2000
AFILADOR CUCHILLOS,CU7000,25.0,25.3,,ORBEGOZO,,,Storable Product,ORBEGOZO_CU7000
SALPIMENTERO (MOLINILLO PIMIENTO Y SAL) ,PM3550,12.0,12.2,,ORBEGOZO,,,Storable Product,ORBEGOZO_PM3550
REGLETA ENCHUFES X3 + USB,EN3100,15.0,15.0,,ORBEGOZO,,,Storable Product,ORBEGOZO_EN3100
"LAVADORA CORBERÓ 7KG ""A""",CLT704VIN,339.0,198.92,Lavadoras,ALMCE,,,Storable Product,ALMCE_CLT704VIN
"LAVADORA CORBERÓ 9KG ""A""",CLT904VIN,369.0,220.43,Lavadoras,ALMCE,,,Storable Product,ALMCE_CLT904VIN
"LAVADORA CORBERÓ 10KG ""A""",CLT1004VIN,399.0,251.61,Lavadoras,ALMCE,,,Storable Product,ALMCE_CLT1004VIN
LAVASECADORA CANDY 9KG LAV + 6KG SEC,CSOW4965T,489.0,282.08,Secadoras,ALMCE,,,Storable Product,ALMCE_CSOW4965T
"LAVADORA CORBERÓ CARGA SUP 6,5KG",ECLACSM6520,360.0,336.2,Lavadoras,ALMCE,,,Storable Product,ALMCE_ECLACSM6520
LAVAVAJILLAS BENAVENT INOX 45CM,LVBV4501X,299.0,181.72,,ALMCE,,,Storable Product,ALMCE_LVBV4501X
LAVAVAJILLAS BENAVENT BLANCO 45CM,LVBV4501W,289.0,170.97,,ALMCE,,,Storable Product,ALMCE_LVBV4501W
LAVAV. CORBERÓ BLANCO 45CM 10CU,CLVV4522W,325.0,202.58,,ALMCE,,,Storable Product,ALMCE_CLVV4522W
LAVAV. CORBERÓ BLANCO 45CM 10CU,CLVM4524W,325.0,196.77,,ALMCE,,,Storable Product,ALMCE_CLVM4524W
LAVAV. CORBERÓ INOX 45CM ,ECLVM456419X,335.0,210.19,,ALMCE,,,Storable Product,ALMCE_ECLVM456419X
LAVAVAJILLAS CORBERÓ INOX 45CM,CLVM4524X,349.0,222.35,,ALMCE,,,Storable Product,ALMCE_CLVM4524X
LAVAVAJILLAS BENAVENT 60CM INOX,LVBV60DX,329.0,203.23,,ALMCE,,,Storable Product,ALMCE_LVBV60DX
LAVAVAJILLAS CORBERÓ BLANCO,CLVM6021W,359.0,223.66,,ALMCE,,,Storable Product,ALMCE_CLVM6021W
LAVAVAJILLAS CORBERO 60CM INOX,CLVM6024X,379.0,217.2,,ALMCE,,,Storable Product,ALMCE_CLVM6024X
LAVAVAJILLAS CORERO 60CM BLANCO,CLVM6024W,0.0,203.23,,ALMCE,,,Storable Product,ALMCE_CLVM6024W
LAVAVAJILLAS CORBERO 60CM BLANCO,CLVM7723W,379.0,224.73,,ALMCE,,,Storable Product,ALMCE_CLVM7723W
