default_code,name,type,standard_price,list_price,categ_id,supplier_id,active,sale_ok,purchase_ok
LI6000,LICUADORA OBERGOZO,consu,86.0,86.0,,ORBEGOZO,True,True,True
LP2500,LAMPARA DE SOBREMESA,consu,17.95,18.0,,ORBEGOZO,True,True,True
LP1000,LUZ ENCHUFE CON SENSOR,consu,8.1,8.0,,ORBEGOZO,True,True,True
MHH1200,MAQUINA DE HACER HIELO ,consu,110.8,110.0,,ORBEGOZO,True,True,True
DA2000,DISPENSADOR AGUA ,consu,7.9,10.0,,ORBEGOZO,True,True,True
CU7000,AFILADOR CUCHILLOS,consu,25.3,25.0,,ORBEGOZO,True,True,True
PM3550,SALPIMENTERO (MOLINILLO PIMIENTO Y SAL) ,consu,12.2,12.0,,ORBEGOZO,True,True,True
EN3100,REGLETA ENCHUFES X3 + USB,consu,15.0,15.0,,ORBEGOZO,True,True,True
CLT704VIN,"LAVADORA CORBERÓ 7KG ""A""",consu,198.92,339.0,Lavadoras,ALMCE,True,True,True
CLT904VIN,"LAVADORA CORBERÓ 9KG ""A""",consu,220.43,369.0,Lavadoras,ALMCE,True,True,True
CLT1004VIN,"LAVADORA CORBERÓ 10KG ""A""",consu,251.61,399.0,Lavadoras,ALMCE,True,True,True
CSOW4965T,LAVASECADORA CANDY 9KG LAV + 6KG SEC,consu,282.08,489.0,Secadoras,ALMCE,True,True,True
ECLACSM6520,"LAVADORA CORBERÓ CARGA SUP 6,5KG",consu,336.2,360.0,Lavadoras,ALMCE,True,True,True
LVBV4501X,LAVAVAJILLAS BENAVENT INOX 45CM,consu,181.72,299.0,,ALMCE,True,True,True
LVBV4501W,LAVAVAJILLAS BENAVENT BLANCO 45CM,consu,170.97,289.0,,ALMCE,True,True,True
CLVV4522W,LAVAV. CORBERÓ BLANCO 45CM 10CU,consu,202.58,325.0,,ALMCE,True,True,True
CLVM4524W,LAVAV. CORBERÓ BLANCO 45CM 10CU,consu,196.77,325.0,,ALMCE,True,True,True
ECLVM456419X,LAVAV. CORBERÓ INOX 45CM ,consu,210.19,335.0,,ALMCE,True,True,True
CLVM4524X,LAVAVAJILLAS CORBERÓ INOX 45CM,consu,222.35,349.0,,ALMCE,True,True,True
LVBV60DX,LAVAVAJILLAS BENAVENT 60CM INOX,consu,203.23,329.0,,ALMCE,True,True,True
CLVM6021W,LAVAVAJILLAS CORBERÓ BLANCO,consu,223.66,359.0,,ALMCE,True,True,True
CLVM6024X,LAVAVAJILLAS CORBERO 60CM INOX,consu,217.2,379.0,,ALMCE,True,True,True
CLVM6024W,LAVAVAJILLAS CORERO 60CM BLANCO,consu,203.23,0.0,,ALMCE,True,True,True
